name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
PMMSY: Establishment of open Sea cages (100-120)m3 vol. - Gujarat,pmmsyeoscguj,"The scheme aims to support the installation of open sea cages of 100–120 cubic meter capacity for fish farming in marine waters. This helps fishermen and entrepreneurs to undertake cage-based aquaculture, thereby increasing fish production, ensuring sustainable marine resource utilization.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Establishment of small RAS /Biofloc culture system - Haryana,eos,"The scheme provides capital assistance for setting up small-scale Recirculatory Aquaculture Systems (RAS) and Biofloc culture systems to promote high-yield, sustainable fish farming.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Fish Feed Plants of Production Capacity of at least 100 Ton/Day - Haryana,sffppc,"This scheme provides capital subsidy for setting up fish feed plants with a minimum production capacity of 100 tons per day, under the Pradhan Mantri Matsya Sampada Yojana (PMMSY) to general , schedule caste and women beneficiaries .",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Ice Plant/Cold Storage of Minimum 50-Ton Capacity - Haryana,sfipcsom,"This scheme provides financial assistance for setting up ice plants or cold storage units with a minimum capacity of 50 tons, supporting cold chain infrastructure under PMMSY. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Ice Plant/Cold Store of minimum 10-ton capacity Haryana,sfipcsomc,The subsidy for 10-ton capacity ice plant/cold storage units under Pradhan Mantri Matsya Sampada Yojana (PMMSY) supports the establishment of ice plants or cold storage facilities with a minimum capacity of 10 tons to improve fish preservation and cold chain infrastructure in Haryana.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Ice Plant/Cold Store of Minimum 20-Ton Capacity - Haryana,sfipcsomtc,The subsidy for 20-ton capacity ice plant/cold storage units under Pradhan Mantri Matsya Sampada Yojana (PMMSY) supports the establishment of ice plants or cold storage facilities with a minimum capacity of 20 tons to improve fish preservation and cold chain infrastructure in Haryana.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Ice Plant/Cold Store of Minimum 30-Ton Capacity - Haryana,sfipcs,The subsidy for 30-ton capacity ice plants/cold storage units under Pradhan Mantri Matsya Sampada Yojana (PMMSY) supports the establishment of ice plants or cold storage facilities with a minimum capacity of 30 tons to improve fish preservation and cold chain infrastructure in Haryana.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
"PMMSY: Inputs for fresh water Aquaculture including Composite fish culture, Scampi, Pangasius, Tilapia etc - Haryana",sfiffwa,The scheme under Pradhan Mantri Matsya Sampada Yojana (PMMSY) provides input cost subsidy for freshwater aquaculture in newly constructed ponds to expand fisheries production in Haryana.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Inputs for Saline /Alkaline Water Aquaculture - Haryana,sfifsawa,The subsidy for Inputs for Saline /Alkaline Water Aquaculture under Pradhan Mantri Matsya Sampada Yojana (PMMSY) provides input cost subsidy for saline/alkaline water aquaculture in newly created water bodies to expand fisheries production in Haryana.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Installation of Cages in Reservoirs Scheme - Haryana,sfiocir,The scheme aims to promote cage fish farming. It provides grants per unit to the individuals and groups for sustainable aquaculture practices.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Insulated vehicles - Gujarat,pmmsyivguj,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for Insulated vehicles.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Insulated Vehicles - Haryana,ivs,The scheme aims to provide a subsidy per unit for purchasing insulated vehicles for the beneficiaries to promote cold-chain logistics in fish transportation.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Large Fish Feed Mill of Production Capacity of 20 Ton /Day Scheme - Haryana,lffmpc20td,The scheme aims to strengthen aquaculture through fish feed production. It provides a grant per unit to the beneficiaries under PMMSY.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Live Fish Vending Centres Scheme - Haryana,lfvcs,The scheme aims to support fishers by providing financial assistance for live fish vending centers. A subsidy per unit is provided under PMMSY.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY : Modernization of Cold storage /Ice Plant - Gujarat,pmmsymcsipguj,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for the modernisation of Cold storage /Ice Plant.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Motorcycle with Ice Box - Gujarat,pmmsyiceboxguj,"The scheme aims to provide financial assistance for the purchase of motorcycles with ice boxes. Through this scheme, eligible beneficiaries receive subsidies to enhance their livelihood opportunities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Provision of Polythene lining for the Construction of New ponds for Saline/Alkaline area-Haryana,pplcnpsaahr,"The scheme aims to provide central assistance for the cost of polythene lining for new ponds in saline/alkaline areas. Through this scheme, polythene lining costs are provided to beneficiaries constructing new water bodies for fish/shrimp culture.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Refrigerated vehicles - Gujarat,pmmsyrvguj,"The scheme aims to provide financial assistance for the purchase of vehicles. Through this scheme, subsidy benefits are provided to general, women, and SC/ST category beneficiaries.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Support for Acquisition of Deep Sea Fishing Vessels for Traditional Fishermen - Gujarat,pmmsysadsvtguj,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for the support for acquisition of deep-sea fishing vessels for traditional fishermen.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Three wheeler with Ice Box including e-rickshaws for fish vending - Gujarat,pmmsyfvguj,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for a three-wheeler with an Ice Box, including e-rickshaws for fish vending.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Upgradation of existing fishing vessels for export Competency - Gujarat,pmmsyuefvecguj,"The scheme aims to boost fish production, exports, and the safety of fishermen. Assistance is given for modernisation, insulated vehicles, and upgradation of fishing vessels to improve income and fish quality.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Popularisation Of Fishery Machinery/ Equipments/ Implements” For Intensive Aquaculture In Odisha For The Financial Year 2021-22,pfmeiiao,"The aim of the ""Popularisation of Fishery Machinery/ Equipments/ Implements” for Intensive Aquaculture in Odisha for the Financial Year 2021-22"" scheme is to provide subsidy support to farmers/ fishers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Post-Harvest Management,phm,"The scheme aims to promote the development of modern post-harvest infrastructure by supporting farmers & entrepreneurs in setting up facilities such as pack houses, pre-cooling units, cold rooms, cold storage units, etc., thereby reducing post-harvest losses & marketability of horticultural produce.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Post Harvest Marketing Scheme,phms,"The “Post Harvest Marketing Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya for the creation of post harvest marketing infrastructure. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Adarsh Gram Yojana,pmagy,"With a view to enabling an area-based development approach, a new scheme Pradhan Mantri Adarsh Gram Yojana (PMAGY) was launched during 2009-10. The Scheme aims at the integrated development of Scheduled Castes majority villages.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Fasal Bima Yojna (PMFBY),pmfby,Pradhan Mantri Fasal Bima Yojana was launched in  2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.,,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Gram Sadak Yojana,pmgsy,"With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Kisan Maandhan Yojana,pmkmdy,"The scheme aims to provide old-age social security through a minimum assured monthly pension of ₹ 3,000/- to Small and Marginal Farmers after attaining the age of 60 years.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Kisan Samman Nidhi,pm-kisan,"Farmer welfare scheme by Ministry of Agriculture and Farmers Welfare to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs.
",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Kisan Urja Suraksha Evam Utthaan Mahabhiyan Yojana (PM-KUSUM) - Uttarakhand,pm-kusumuk,"The scheme aims to promote clean and affordable irrigation by replacing diesel pump sets with solar-powered pump sets, reducing farmers’ irrigation costs, enhancing energy security, and increasing farmers’ income through sustainable and efficient use of solar energy.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Krishi Sinchayee Yojana - Har Khet Ko Pani (Groundwater Irrigation Scheme) Uttarakhand,pmksyhkkpgws,The scheme aims to provide assured and sustainable irrigation to every farm by developing groundwater-based irrigation facilities for farmers. This scheme is a centrally sponsored scheme with a funding pattern of 90% Central share and 10% State share.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Krishi Sinchayee Yojana - Har Khet Ko Pani (Surface Scheme) Uttarakhand,pmksy-hkkp,"The scheme aims to provide every farmer with reliable surface irrigation facilities by developing sustainable irrigation infrastructure, ensuring that every field receives adequate water to improve agricultural productivity.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop,pmksypdmc,"The scheme “Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop” was launched by the Dept. of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Govt. of India on 1st July 2015. The scheme mainly focuses on water use efficiency at farm level through Micro Irrigation.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Matsya Kisan Samridhi Sah-yojana (PM-MKSSY): COMPONENT 1B: One-Time Incentive for the Adoption of Aquaculture Insurance,pmmkssy-1b,The Component 1B of PM-MKSSY provides a one-time incentive to eligible applicants who have availed institutional credit for fisheries-related activities. The objective is to encourage formal credit adoption and support the repayment capacity of fisheries microenterprises.,,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Matsya Sampada Yojana,pmmsy,"Introduced by the Department of Fisheries, Pradhan Mantri Matsya Sampada Yojana (PMMSY) is a scheme to bring about ecologically healthy, economically viable, and socially inclusive development of the fisheries sector of India.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Pradhan Mantri Matsya Sampada Yojana: Establishment of Backyard mini RAS Units - Haryana,ebmrasuhr,"Under this scheme, financial assistance in the form of subsidies is provided to eligible beneficiaries for establishing these units. Various surface and groundwater sources such as canals, rivers, springs, open wells, and tube wells can be utilized for operating RAS units.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
